Match Date,Team_1,Team_2,Winner,Margin,Ground
"Sep 17, 2018",Afghanistan,Sri Lanka,Afghanistan,91 runs,Abu Dhabi
"Sep 18, 2018",Hong Kong,India,India,26 runs,Dubai (DSC)
"Sep 19, 2018",India,Pakistan,India,8 wickets,Dubai (DSC)
"Sep 20, 2018",Afghanistan,Bangladesh,Afghanistan,136 runs,Abu Dhabi
"Sep 21, 2018",Bangladesh,India,India,7 wickets,Dubai (DSC)
"Sep 21, 2018",Afghanistan,Pakistan,Pakistan,3 wickets,Abu Dhabi
"Sep 23, 2018",India,Pakistan,India,9 wickets,Dubai (DSC)
"Sep 23, 2018",Afghanistan,Bangladesh,Bangladesh,3 runs,Abu Dhabi
"Sep 25, 2018",Afghanistan,India,tied,Dubai (DSC),Dubai (DSC)
"Sep 26, 2018",Bangladesh,Pakistan,Bangladesh,37 runs,Abu Dhabi
"Sep 28, 2018",Bangladesh,India,India,3 wickets,Dubai (DSC)
"Sep 30, 2018",South Africa,Zimbabwe,South Africa,5 wickets,Kimberley
"Oct 3, 2018",South Africa,Zimbabwe,South Africa,120 runs,Bloemfontein
"Oct 6, 2018",South Africa,Zimbabwe,South Africa,4 wickets,Paarl
"Oct 10, 2018",Sri Lanka,England,no result,Dambulla Oct,Dambulla
"Oct 13, 2018",Sri Lanka,England,England,31 runs,Dambulla
"Oct 17, 2018",Sri Lanka,England,England,7 wickets,Pallekele
"Oct 20, 2018",Sri Lanka,England,England,18 runs,Pallekele
"Oct 21, 2018",India,West Indies,India,8 wickets,Guwahati
"Oct 21, 2018",Bangladesh,Zimbabwe,Bangladesh,28 runs,Dhaka
"Oct 23, 2018",Sri Lanka,England,Sri Lanka,219 runs,Colombo (RPS)
"Oct 24, 2018",Bangladesh,Zimbabwe,Bangladesh,7 wickets,Chattogram
"Oct 26, 2018",Bangladesh,Zimbabwe,Bangladesh,7 wickets,Chattogram
"Oct 27, 2018",India,West Indies,West Indies,43 runs,Pune
"Oct 29, 2018",India,West Indies,India,224 runs,Mumbai (BS)
"Nov 1, 2018",India,West Indies,India,9 wickets,Thiruvananthapuram
"Nov 4, 2018",Australia,South Africa,South Africa,6 wickets,Perth
"Nov 7, 2018",New Zealand,Pakistan,New Zealand,47 runs,Abu Dhabi
"Nov 9, 2018",Australia,South Africa,Australia,7 runs,Adelaide
"Nov 9, 2018",New Zealand,Pakistan,Pakistan,6 wickets,Abu Dhabi
"Nov 11, 2018",Australia,South Africa,South Africa,40 runs,Hobart
"Nov 11, 2018",New Zealand,Pakistan,no result,Dubai (DSC),Dubai (DSC)
"Dec 9, 2018",Bangladesh,West Indies,Bangladesh,5 wickets,Dhaka
"Dec 11, 2018",Bangladesh,West Indies,West Indies,4 wickets,Dhaka
"Dec 14, 2018",Bangladesh,West Indies,Bangladesh,8 wickets,Sylhet
"Jan 3, 2019",New Zealand,Sri Lanka,New Zealand,45 runs,Mount Maunganui
"Jan 5, 2019",New Zealand,Sri Lanka,New Zealand,21 runs,Mount Maunganui
"Jan 8, 2019",New Zealand,Sri Lanka,New Zealand,115 runs,Nelson
"Jan 12, 2019",Australia,India,Australia,34 runs,Sydney
"Jan 15, 2019",Australia,India,India,6 wickets,Adelaide
"Jan 18, 2019",Australia,India,India,7 wickets,Melbourne
"Jan 19, 2019",South Africa,Pakistan,Pakistan,5 wickets,Port Elizabeth
"Jan 22, 2019",South Africa,Pakistan,South Africa,5 wickets,Durban
"Jan 23, 2019",New Zealand,India,India,8 wickets,Napier
"Jan 25, 2019",U.A.E.,Nepal,U.A.E.,3 wickets,ICCA Dubai
"Jan 25, 2019",South Africa,Pakistan,South Africa,13 runs,Centurion
"Jan 26, 2019",New Zealand,India,India,90 runs,Mount Maunganui
"Jan 26, 2019",U.A.E.,Nepal,Nepal,145 runs,ICCA Dubai
"Jan 27, 2019",South Africa,Pakistan,Pakistan,8 wickets,Johannesburg
"Jan 28, 2019",New Zealand,India,India,7 wickets,Mount Maunganui
"Jan 28, 2019",U.A.E.,Nepal,Nepal,4 wickets,ICCA Dubai
"Jan 30, 2019",South Africa,Pakistan,South Africa,7 wickets,Cape Town
"Jan 31, 2019",New Zealand,India,New Zealand,8 wickets,Hamilton
"Feb 3, 2019",New Zealand,India,India,35 runs,Wellington
"Feb 13, 2019",New Zealand,Bangladesh,New Zealand,8 wickets,Napier
"Feb 16, 2019",New Zealand,Bangladesh,New Zealand,8 wickets,Christchurch
"Feb 20, 2019",New Zealand,Bangladesh,New Zealand,88 runs,Dunedin
"Feb 20, 2019",West Indies,England,England,6 wickets,Bridgetown
"Feb 22, 2019",West Indies,England,West Indies,26 runs,Bridgetown
"Feb 25, 2019",West Indies,England,no result,St George's,St George's
"Feb 27, 2019",West Indies,England,England,29 runs,St George's
"Feb 28, 2019",Afghanistan,Ireland,Afghanistan,5 wickets,Dehradun
"Mar 2, 2019",Afghanistan,Ireland,no result,result Dehradun,Dehradun
"Mar 2, 2019",India,Australia,India,6 wickets,Hyderabad (Deccan)
"Mar 2, 2019",West Indies,England,West Indies,7 wickets,Gros Islet
"Mar 3, 2019",South Africa,Sri Lanka,South Africa,8 wickets,Johannesburg
"Mar 5, 2019",Afghanistan,Ireland,Ireland,4 wickets,Dehradun
"Mar 5, 2019",India,Australia,India,8 runs,Nagpur
"Mar 6, 2019",South Africa,Sri Lanka,South Africa,113 runs,Centurion
"Mar 8, 2019",Afghanistan,Ireland,Afghanistan,109 runs,Dehradun
"Mar 8, 2019",India,Australia,Australia,32 runs,Ranchi
"Mar 10, 2019",Afghanistan,Ireland,Ireland,5 wickets,Dehradun
"Mar 10, 2019",India,Australia,Australia,4 wickets,Mohali
"Mar 10, 2019",South Africa,Sri Lanka,South Africa,71 runs,Durban
"Mar 13, 2019",India,Australia,Australia,35 runs,Delhi
"Mar 13, 2019",South Africa,Sri Lanka,South Africa,6 wickets,Port Elizabeth
"Mar 16, 2019",South Africa,Sri Lanka,South Africa,41 runs,Cape Town
"Mar 22, 2019",Australia,Pakistan,Australia,8 wickets,Sharjah
"Mar 24, 2019",Australia,Pakistan,Australia,8 wickets,Sharjah
"Mar 27, 2019",Australia,Pakistan,Australia,80 runs,Abu Dhabi
"Mar 29, 2019",Australia,Pakistan,Australia,6 runs,Dubai (DSC)
"Mar 31, 2019",Australia,Pakistan,Australia,20 runs,Dubai (DSC)
"Apr 10, 2019",Zimbabwe,U.A.E.,Zimbabwe,7 wickets,Harare
"Apr 12, 2019",Zimbabwe,U.A.E.,Zimbabwe,4 runs,Harare
"Apr 14, 2019",Zimbabwe,U.A.E.,Zimbabwe,131 runs,Harare
"Apr 16, 2019",Zimbabwe,U.A.E.,Zimbabwe,3 wickets,Harare
"Apr 27, 2019",Namibia,Oman,Namibia,145 runs,Windhoek
"Apr 27, 2019",P.N.G.,U.S.A.,P.N.G.,5 wickets,Windhoek
"May 3, 2019",Ireland,England,England,4 wickets,Dublin (Malahide)
"May 5, 2019",Ireland,West Indies,West Indies,196 runs,Dublin
"May 7, 2019",Bangladesh,West Indies,Bangladesh,8 wickets,Dublin
"May 8, 2019",England,Pakistan,no result,The Oval,The Oval
"May 10, 2019",Scotland,Afghanistan,Afghanistan,2 runs,Edinburgh
"May 11, 2019",Ireland,West Indies,West Indies,5 wickets,Dublin (Malahide)
"May 11, 2019",England,Pakistan,England,12 runs,Southampton
"May 13, 2019",Bangladesh,West Indies,Bangladesh,5 wickets,Dublin (Malahide)
"May 14, 2019",England,Pakistan,England,6 wickets,Bristol
"May 15, 2019",Ireland,Bangladesh,Bangladesh,6 wickets,Dublin
"May 17, 2019",Bangladesh,West Indies,Bangladesh,5 wickets,Dublin (Malahide)
"May 17, 2019",England,Pakistan,England,3 wickets,Nottingham
"May 19, 2019",Ireland,Afghanistan,Ireland,72 runs,Belfast
"May 19, 2019",England,Pakistan,England,54 runs,Leeds
"May 21, 2019",Ireland,Afghanistan,Afghanistan,126 runs,Belfast
"May 21, 2019",Scotland,Sri Lanka,Sri Lanka,35 runs,Edinburgh
